country_id,month_id,country,gwcode,isoab,year,month,surrogate_mean_dem_ln,surrogate_mean_imr,surrogate_mean_pop_ln,surrogate_mean_imr_ln,surrogate_mean_pop,main_mean,main_dich,surrogate_mean_dem,surrogate_mean_nch_ln,surrogate_mean_ch,main_mean_ln,surrogate_mean_ch_ln,surrogate_mean_nch
158,548,Zimbabwe,552,ZWE,2025,8,1.3405,2.2582,0.5399,1.1812,0.7159,0.015,0.0031,2.821,0.9658,0.073,0.0149,0.0705,1.627
159,548,Comoros,581,COM,2025,8,1.1757,1.7454,0.1055,1.0099,0.1113,0.0062,0.0031,2.2405,0.0993,0.073,0.0061,0.0705,0.1044
160,548,Lesotho,570,LSO,2025,8,0.1686,4.5466,0.1488,1.7132,0.1604,0.0021,0.003,0.1836,0.2724,0.073,0.0021,0.0705,0.3132
161,548,Malawi,553,MWI,2025,8,0.2242,1.2204,0.6651,0.7977,0.9446,0.0089,0.0031,0.2513,0.5143,0.073,0.0088,0.0705,0.6724
162,548,Mozambique,541,MOZ,2025,8,1.3615,2.8667,0.9602,1.3524,1.6122,13.2976,0.2801,2.9021,0.4423,2.407,2.6601,1.2258,0.5562
163,548,South Africa,560,ZAF,2025,8,0.1254,0.8924,1.4865,0.6378,3.4214,0.5125,0.0064,0.1336,0.3299,0.073,0.4137,0.0705,0.3909
164,548,Swaziland,572,SWZ,2025,8,1.1234,2.6122,0.1166,1.2843,0.1237,0.0166,0.0031,2.0752,0.9657,0.073,0.0165,0.0705,1.6266
165,548,Angola,540,AGO,2025,8,1.3534,2.0049,1.0279,1.1003,1.7953,1.7523,0.0186,2.8705,0.3624,17.2668,1.0124,2.9051,0.4368
166,548,Congo,484,COG,2025,8,1.2216,1.0942,0.2634,0.7392,0.3013,0.0223,0.0032,2.3927,2.1645,0.073,0.022,0.0705,7.7102
167,548,"Congo, DRC",490,COD,2025,8,1.2818,2.7438,1.9581,1.3201,6.0861,44.126,0.762,2.6033,1.9177,13.8447,3.8095,2.6976,5.8052
168,548,Fiji,950,FJI,2025,8,0.4545,0.8575,0.1074,0.6192,0.1133,0.0025,0.003,0.5754,0.0993,0.073,0.0025,0.0705,0.1044
169,548,Gabon,481,GAB,2025,8,1.3386,1.0217,0.1546,0.7039,0.1672,0.0052,0.0031,2.8139,0.3623,0.073,0.0052,0.0705,0.4367
